URL,Title,Content,Image
"https://worldnewsdailyreport.com/united-airlines-pilot-and-copilot-fired-for-having-loud-sex-together-during-flight/
", United Airlines pilot and copilot fired for having loud sex together during flight," 49-year old Jordan McPhee and 38-year old Bayani Ceniza were operating a Boeing 747 carrying 412 passengers from Manilla to Los Angeles when the speakers in the plane’s passenger area started emitting strange noises.
 71-year old Betty Garrison who was aboard with her husband, says that both flight attendants and passengers were shocked when the unidentifiable sounds turned into “a gay porn soundtrack”.
 According to Ms. Garrison, flight attendants rapidly ran to the cockpit to warn the pilots, but the two ignored them and continued for several minutes before finally answering the door.
 Over 30 passengers filed complaints with United Airlines upon their arrival in Los Angeles and the company decided to act swiftly.
 In a brief press conference held in Chicago this morning, the airline has announced that it had launched an investigation on the event and that both Mr. Mcphee and Mr. Ceniza had been fired.
 United Airlines executive vice-president James Garreth claims the company will investigate the incident thoroughly and do everything it can to prevent such a thing from happening again.
 Over 300 incidents of sexual nature involving airplane pilots are reported every year in North America according to the FAA.
 A vast majority of these cases involve pilots engaging in sexual intercourse with flight attendants or passengers, and cases involving both pilot and co-pilot are extremely rare.
 In 2013, four employees of American Airlines had been fired after engaging in group sex with 17 passengers.
 “Shove the control stick deep up my a$$ and shake it there hard till I stall, Daddy….”
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 
  “At first, we heard strange sounds and thought someone had entered the cockpit and was wrestling the pilots. But then it became clearer and we heard stuff like “fuck me harder Daddy” and other disgusting things.”
 

 “We could clearly hear the poor girls yelling and banging the door and the two men complaining about it while they continued having sex.”
",https://worldnewsdailyreport.com/wp-content/uploads/2018/12/unitedpilots.jpg
"https://worldnewsdailyreport.com/costa-rica-american-tourist-arrested-for-having-sex-with-endangered-sea-turtles/
", Costa Rica: American tourist arrested for having sex with endangered sea turtles," Local video surveillance cameras showed Robert W. Schlong, an American tourist, sexually molesting the endangered sea turtle which has now been transported to an animal refuge.
 Tortuguero Police arrested Robert W. Schlong after several hotel employees reported the man having sex with multiple sea turtles over a two-week period.
 Manuel Rivera Castro, a hotel employee where Robert W. Schlong was residing, said locals called him the “Tortuga Amante” or “turtle lover” because of the tourist’s well-known sexual appetite for the endangered species.
 Local biologist Annamaria Sanchez believes that even though the sex acts are “incredibly disturbing,” they are even more dangerous, and could possibly be deadly for the turtles.
 Tortuguero Police later released Robert W. Schlong on a
  ₡
 120,000 bail (approx. $200 USD) until his trial and under strict conditions where he is not allowed to approach any sea turtle at less than 500 meters.
 Costa Rican law establishes penalties of jail time ranging from three months to a year for harming an animal in a debilitating form or for bestiality.
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 
  “We asked him if he wanted a girl to spend the night with, but he said no and pointed to the ocean. He said he preferred the turtles,” one hotel employee told local reporters.
 

 
  “He would grab a turtle and push it over on its back and then he would climb on top of it and do his thing,” hotel employee Manuel Castro told Canal 13, visibly amused.
 

 
  “Performing vaginal or anal sex on a sea turtle could also permanently injure the creature and cause internal bleeding,” she warns.
 
",https://worldnewsdailyreport.com/wp-content/uploads/2014/12/turtlesex.jpg
"https://worldnewsdailyreport.com/man-gets-plastic-surgery-and-name-change-to-date-his-ex-girlfriend-after-she-obtains-restraining-order/
", Man gets plastic surgery and name change to date his ex-girlfriend after she obtains restraining order," 40-year old James Mack from Camden was condemned to six months in jail in 2017 for criminally harassing his former lover, but the sentence clearly didn’t dissuade him.
 Being under a restraining order that forbade him from contacting or approaching his ex, he began an extreme transformation in order to do it without getting caught.
 He legally changed his name to Jason Monroe, underwent 37 plastic surgeries to change his physical appearance and even had a delicate vocal cords operation to alter his voice.
 Sarah Lopez, Mr. Mack’s ex-girlfriend, says she had no idea it was him when she “met him” at her gym.
 Ms. Franklin says it was wonderful for a few weeks, but that she gradually started to feel that there was something wrong about her new boyfriend.
 As soon as she recognized him, she called the police and he ran away, He was finally arrested less than 30 minutes later while hiding in bushes a few blocks from there.
 His ex-girlfriend, 34-year old Sarah Lopez, says it took almost five weeks before she recognized him.
 Mr. Monroe was arrested and imprisoned for a restraining order violation, but several other criminal charges could be filed against him.
 He already faces up to three years in county jail and up to $10,000 in fines, but the could also face charges of criminal harassment according to the Camden County Police Department.
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 “I just saw a handsome guy who had exactly the same tastes as me in terms of music, movies, food… everything. It seemed like a match made in heaven, a gift from life to compensate for all I had endured.”

 “I sometime thought he knew too many things about me, my family and my friends. Then this morning, he accidentally made a comment about when the first dated, and I realized who he really was.”
",https://worldnewsdailyreport.com/wp-content/uploads/2018/12/stalkersurgery.jpg
"https://worldnewsdailyreport.com/mother-forced-her-son-to-swallow-his-own-sperm-after-he-was-caught-masturbating-to-gay-porn/
", Mother forced her son to swallow his own sperm after he was caught masturbating to gay porn," 911 operators received a distress call around 9 p.m. yesterday by the teenager who described his mother as having forced him to ingest his own sperm.
 Dolly Callahan, 44, allegedly became furious after she found her son masturbating to homosexual pornographic material.
 Sheriff Ken Cloverfield said the woman told officers that she had punished her son so that he would understand that the choice of being gay comes with “heavy consequences” and “God’s disapproval.”
 Dolly Callahan was “highly intoxicated” after inhaling butane gas and lying on the floor when police arrived, according to the affidavit.
 The Department of Child Services was called to the Callahan home and the child was released into family members’ custody.
 Dolly Callahan was arrested on multiple preliminary charges of child neglect and could face up to a maximum of 114 years in jail if convicted.
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 “She ordered me to cum into my hand and then lick every drop of it,” the 14-year-old told 911 operators, crying.

 
  “She said that if I chose to be gay, I’d better get used to the taste of schlong juice,” the 14-year-old also told 911 operators.
 
",https://worldnewsdailyreport.com/wp-content/uploads/2018/11/momdrinksemen.jpg
"https://worldnewsdailyreport.com/death-row-inmate-demands-to-be-served-a-live-cat-as-his-last-meal/
", Death row inmate demands to be served a live cat as his last meal," 47-year Jason Dunlop was executed last night at the Colorado State Penitentiary for killing and eating a couple of hitchhikers in the city of Greeley in 2007.
 According to the penitentiary tradition respected by most American states, he was offered a last meal of his choice.
 Correctional officer Ramon Sanchez says he was totally shocked when he collected the paper on which Mr. Dunlop had written his request.
 Officer Sanchez explained to the inmate that there are rules concerning last meals and that those rules prohibit tobacco and alcohol.
 He also explained that the food must be purchased locally for a cost of less than $40 and that any unorthodox or unavailable requests would be replaced with substitutes.
 Unsurprisingly, Mr. Dunlop’s request was declined and he was served two slices of a cheese pizza, a chocolate bar and a cup of black coffee from the prison’s canteen.
 Correctional officer Ramon Sanchez says he was totally shocked when he discussed with Mr. Dunlop about his last meal request.
 The ritual associated with the prisoners’ last meals is usually respected in most American states where the death penalty is practiced, except in Texas where an unusual case lead to it being abolished.
 In September 2011,  Lawrence Russell Brewer requested a huge last meal including a plate of two chicken-fried steaks with gravy and sliced onions, a triple-patty bacon cheeseburger, a cheese omelet with ground beef, tomatoes, onions, bell peppers, jalapeños, a bowl of fried okra with ketchup, a pound of barbecued meat with half of a loaf of white bread, a portion of three fajitas, a meat lover’s pizza, a pint of Blue Bell ice cream, a slab of peanut-butter fudge with crushed peanuts, and a serving equivalent to three root beers.
 Mr. Brewer did not eat any of it, saying he was not hungry, a provocation which led the state of Texas to abolish all special last meal requests.
 mmm cAT
 lívє cαt?rєαllч?cαnníвαl tíll híѕ lαѕt dαчѕ🤔🤔whσw ít’ѕ α gσσd thíng thєч єхєcutєd hím.
 wow,even on his last day,he asking for a freakin live cat😿😿😿no remorse
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 “He had simply written “a big fat live cat and a 12-pack of beer.” I thought he was kidding at first and was totally shocked when I realized he was serious.”

 
  “He told us he didn’t mind skipping the beer, but he insisted that we could certainly find a stray cat in a shelter for less than 40$ or substitute it for a dog.”
 
",https://worldnewsdailyreport.com/wp-content/uploads/2018/12/weirdomug.jpg
"https://worldnewsdailyreport.com/babysitter-transported-to-hospital-after-inserting-a-baby-in-her-vagina/
", Babysitter transported to hospital after inserting a baby in her vagina," Latifah Brown called 911 around 9:30 PM last night, reporting that she had a baby stuck in her vagina.
 The operator first assumed that she was giving birth at home and dispatched an ambulance to the site.
 The paramedics had quite a surprise when they arrived on the site and saw what was actually happening.
 One of the paramedics, Brian Whitmore, related the incident in an interview with WBNS-10 TV.
 The paramedics spent more than an hour on the site trying to release the child from his difficult position but were unable to get the toddler out.
 Ms. Brown and the child were finally transported to the hospital, where doctors were able to separate them after a delicate operation.
 The young boy suffers from a dislocated hip, but doctors don’t think he will suffer any sequelae from the incident.
 The paramedic, Ryan Whitmore, says he was shocked when he arrived on the scene and saw the fully dressed toddler caught in the woman’s vagina.
 The babysitter was interrogated by police and confessed to deliberately inserting the child in her vaginal cavity.
 She explained that she was feeling depressed after her doctor told her she could never have children and wanted to know how it felt to give birth.
 Ms. Brown now faces a total of 11 criminal charges, including aggravated child neglect causing bodily harm, and could spend up to 65 years in prison.
 Her lawyer has asked for a psychiatric evaluation, claiming that she isn’t fit to stand trial.
 Depending on the results of the evaluation, her trial could begin in June.
 wtf this woman needs help
 She sounds like she needs to be in a mental institution not a prison. Hell too many courts just toss people who need mental help in a prison where they go from needing to help to fully criminally insane ad then after they serve their time they get released and at that point they become seriously dangerous. In a mental facility they get treatment and only get out if they are better.
 My suggestion would be tie her under a bus on a very busy street on very rainy weather until she sobers up then tie her to the blades of a helicopter for about a week so she can experience going around in circles for a while then give her to the mother to do as she pleases with her for 2 days with no cameras and nobody to stop her then give her life in prison so that she could think about what she did to that poor child
 Otherwise known as “the babysitter’s lower mouth”.
 Lmao
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 “The little boy wore a diaper and pyjamas, but he had his legs and abdomen stuck in the woman’s vagina.”

 “I don’t know how she got the child in there! We were both pulling as strong as we could and he wouldn’t come out.”
",https://worldnewsdailyreport.com/wp-content/uploads/2017/05/babysitter.jpg
"https://worldnewsdailyreport.com/morgue-employee-cremated-by-mistake-while-taking-a-nap/
", Morgue employee cremated by mistake while taking a nap," According to the Beaumont Police Department, 48-year old Henri Paul Johnson decided to take a nap on a stretcher after working for sixteen hours straight.
 While he was sleeping, another employee mistook him for the corpse of a 52-year-old car accident victim and carried him to the crematory.
 Jenna Davis, one of Henri Johnson’s coworkers, says she heard him scream for about 15 seconds after the crematory was activated.
 Ms. Davis claims that the young coworker who caused the accident was a new employee and had forgotten to check for the toe tag to make sure he had the right body.
 Jenna Davis says she heard the victim scream in agony as the crematory was reducing him to ashes.
 The police have opened an investigation to determine the exact circumstances surrounding Mr. Johnson’s death.
 Investigators have not ruled out the possibility of filing criminal charges against the employee who caused his death.
 The young man could possibly be accused of criminal negligence causing death.
 That will teach him to not sleep on the job, well maybe not him do much, as others.
 if only the employee was a necrophiliac, may still be alive.,
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 
  Before anyone could notice the mistake, he had already been exposed to temperatures ranging between 1400 to 1800 degrees Fahrenheit and reduced to ashes.
 

 “At first, we didn’t understand where the sound was coming from. When we realised what was happening, it was too late. We shut down the heating system, but he was already dead.”
",https://worldnewsdailyreport.com/wp-content/uploads/2017/03/morgueemployee.jpg
"https://worldnewsdailyreport.com/elderly-woman-accused-of-training-her-65-cats-to-steal-from-neighbors/
", Elderly woman accused of training her 65 cats to steal from neighbors," The Columbus Police Department opened an investigation on Ruth Gregson and her 65 cats in October after several neighbors reported small objects being stolen from their homes.
 Several victims reported being visited by Ms. Gregson’s cats before noticing the disappearance of several shiny objects, like valuable cutlery and pieces of jewelry.
 Despite their skepticism, investigators began a surveillance operation and were amazed by what they discovered.
 According to Columbus Police Chief Kim Jacobs,  dozens of cats were constantly coming and going, bringing home “anything that shined”.
 Upon searching Ms. Gregson’s house, investigators found $650,000 worth of jewelry and precious metal among piles of worthless shiny baubles.
 A total of 65 adult cats and 17 kittens were found on the site and entrusted to the Columbus Humane Society.
 Chief Jacobs says the elderly woman confessed to training her cats to steal, saying the felines had to “earn their meals”.
 According to the Columbus Police, Ms. Gregson’s animals could have stolen from more than 5,000 houses and apartment in the area, and investigators invite possible victims to contact them.
 Columbus Police Chief Kim Jacobs told reporters that the number of charges filed against Ms. Gregson could reach over five thousand.
 While Ms. Gregson is the first person in American history to be accused of training cats to steal, this isn’t the first time that animals are trained to commit crimes.
 In 2009, a surveillance that caught a monkey stealing hundreds of dollars worth of plants from a Texas nursery.
 At the time, the police and store owners had hypothesized that the monkey had been trained to take the plants and hand them over a fence to a waiting human accomplice.
 In 2013, a Chicago court sentenced a man to five years in prison for training ferrets to steal cell phones from people on the street and on public buses.
 As long as no cats were hurt, this was epic!
 This woman has set the bar high for cat women everywhere.
 Here kitty,kitty!!
 this.. is… so fucking epic.
 Evil ppl suck. Grandma should be made to eat cat food in jail.
 But only if she performs correctly.
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 
  “She was like Fagin in Oliver Twist, but she was using cats as thieves instead of children. In less than three hours of surveillance, the detectives saw the cats bring home more than a hundred objects.”
 

 
  “She would only feed the animals if they brought home valuables, so the animals had to steal every day in order to survive. Most were voluntarily malnurished so they would easily gain the neighbors’ pity and be allowed inside their houses.”
 
",https://worldnewsdailyreport.com/wp-content/uploads/2017/11/oldcatlady.jpg
"https://worldnewsdailyreport.com/boston-members-of-midget-crime-gang-suspected-of-55-break-ins/
", Boston: Members of Midget Crime Gang Suspected of 55 Break-ins," Security camera footage show the three suspects during a home break-in in which the intruders entered the house through the pet door.
 Authorities also believe the crime organization could be behind 55 other similar break-ins in the region.
  – Officer Ken Stevens, Boston PD
 According to the Boston Police Department, the perpetrators crawled through pet doors, chimneys and small open windows to burglarize many homes in the area
 Although the
  Irish mob midgets
 officially describe themselves as a “non-profit motorcycle enthusiast group for small people of the Boston area”, several high-profile members of the organization have been arrested in the past years on charges of drug-trafficking, arson, and aggravated assault.
 Have the little people been caught, or are they considered “at large”?
 they’re called little people or littleees not midgets. thank you
 They’re pissed and need something to do since Willy Wonka closed down his chocolate factory.
 Sorry about that mate
 The Borrowers.
 Ha! 🙂
 Lol niogga said grow up
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 Irish mob midgets


 ” They found a criminal use to their small-sized bodies and used them to break-in through chimneys, pet doors and small open windows ”

 Irish mob midgets

",https://worldnewsdailyreport.com/wp-content/uploads/2017/04/midget-crime.jpg
"https://worldnewsdailyreport.com/fbi-seizes-over-3000-penises-during-raid-at-morgue-employees-home/
"," FBI seizes over 3,000 penises during raid at morgue employee’s home"," The Federal Bureau of Investigation suspected 54-year old Dave Murray, an employee of the Harris County Morgue, of being implicated in an organ trafficking network.
 Investigating several reports of missing organs and body parts, dozens of agents raided his residence this morning, hoping to find evidence of his involvement in the crimes.
 What they found on the site was a lot more disturbing than what they expected, as the FBI spokesman Andy Ramirez described the scene in an interview with WNTV-4.
 According to Agent Ramirez, the accused rapidly confessed everything as soon as he was arrested.
 It took the FBI more than seven hours to gather all the organs and other pieces of evidence that were found on the site.
 A dozen federal agents of the FBI’s Evidence Response Team were still identifying, collecting, and packing jars more than six hours after their arrival on the site.
 A total of 53 criminal charges have already been filed against Mr. Murray and hundreds more could be filed over the next few days.
 An anonymous FBI source told WNTV-4 that the number of charges could reach over 3,000.
 Dave Murray will remain in custody for the moment as a psychiatric evaluation has been ordered to determine if he’s fit to stand trial.
 If he is considered fit, he should appear in court in October for the beginning of the procedures.
 Do you want fries with that?
 Your email address will not be published.
  Comment
  Name
  *
  Email
  *
  Website
 New World Order Media @ Copyright 2017
 
  “There were shelves everywhere, filled with hundreds of glass jars. Each of them contained a penis floating in formalin.”
 

 “He explained in great detail how he had been cutting off dead men’s genital organs and collecting them for more than ten years.”
",https://worldnewsdailyreport.com/wp-content/uploads/2017/09/FBIraidpenises3.jpg
